                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.91493,                0.69914,                 1.2334,                0.87649,                0.81728,                0.89668,                0.62839,                 1.0844,                0.71036,                 1.4256,              0.0006634,              0.0006634,              0.0006634
                    104,                0.92143,                0.69012,                 1.2478,                0.84187,                0.81827,                0.88902,                0.62565,                 1.0893,                0.73735,                 1.4315,              0.0006601,              0.0006601,              0.0006601
                    105,                0.91712,                0.70058,                 1.2401,                0.88437,                0.80686,                0.89239,                0.61425,                 1.1083,                0.71743,                 1.4483,              0.0006568,              0.0006568,              0.0006568
                    106,                0.91549,                0.68654,                 1.2337,                0.82246,                0.84512,                0.89375,                 0.6096,                 1.1108,                0.74583,                 1.4545,              0.0006535,              0.0006535,              0.0006535
                    107,                0.91864,                0.70043,                 1.2371,                0.87184,                 0.8136,                0.89757,                0.62159,                 1.0952,                 0.7156,                 1.4372,              0.0006502,              0.0006502,              0.0006502
                    108,                0.92306,                0.69502,                 1.2418,                0.87242,                0.80529,                0.88298,                0.61286,                 1.0918,                0.73495,                 1.4419,              0.0006469,              0.0006469,              0.0006469
                    109,                0.89858,                 0.6747,                  1.225,                0.86418,                0.82215,                0.89512,                0.62131,                 1.0919,                0.72033,                 1.4387,              0.0006436,              0.0006436,              0.0006436
                    110,                0.91475,                0.68326,                 1.2321,                0.86321,                0.81919,                0.88102,                0.61346,                  1.111,                0.75603,                 1.4608,              0.0006403,              0.0006403,              0.0006403
                    111,                0.91246,                0.67418,                 1.2227,                0.85868,                0.82519,                0.88789,                 0.6142,                 1.0851,                0.71139,                 1.4444,               0.000637,               0.000637,               0.000637
                    112,                0.90555,                0.67842,                 1.2303,                0.88596,                0.81488,                0.89893,                0.63031,                 1.0878,                0.70244,                 1.4363,              0.0006337,              0.0006337,              0.0006337
